parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,valuation_confidence,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample,spot_check_result,spot_check_notes,spot_check_date
23032019,"802 S Oakland St, Arlington VA 22204",Alcova Heights,R-6,False,7937.0,78.7,True,1936.0,511-Single Family Detached,738.0,,656500.0,112800.0,2381.1,5952.75,35,5214.75,12.397631346856496,underdeveloped,estimated_from_improvement_value,316310.2526143379,1042950.0,high,152.83,136.62,169.03,12,,,
23026035,"3827 8Th St S, Arlington VA 22204",Alcova Heights,R-6,False,8256.0,49.5,False,1994.0,511-Single Family Detached,3351.0,,662200.0,512200.0,2476.7999999999997,6191.999999999999,35,2840.999999999999,54.118217054263575,underdeveloped,estimated_from_improvement_value,167106.04166666666,568199.9999999998,high,152.83,136.62,169.03,12,,,
23033102,"4031 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,8866.0,71.0,True,2020.0,511-Single Family Detached,6835.0,,673200.0,1044600.0,2520.0,6300.0,35,-535.0,108.49206349206348,overdeveloped,estimated_from_improvement_value,,,not_applicable,152.83,136.62,169.03,12,,,
23033021,"4007 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,6250.0,50.0,False,1930.0,511-Single Family Detached,646.0,,626100.0,98700.0,1875.0,4687.5,35,4041.5,13.781333333333334,underdeveloped,estimated_from_improvement_value,296898.2896000001,808300.0,high,152.83,136.62,169.03,12,,,
23033019,"4015 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,8750.0,50.0,False,1952.0,511-Single Family Detached,2295.0,,671100.0,350700.0,2520.0,6300.0,35,4005.0,36.42857142857142,underdeveloped,estimated_from_improvement_value,234645.32142857142,801000.0,high,152.83,136.62,169.03,12,,,
23033022,"4001 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,6250.0,50.0,False,1920.0,511-Single Family Detached,740.0,,626100.0,113100.0,1875.0,4687.5,35,3947.5,15.786666666666665,underdeveloped,estimated_from_improvement_value,289992.8240000001,789500.0,high,152.83,136.62,169.03,12,,,
23033020,"4011 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,8750.0,50.0,False,1958.0,511-Single Family Detached,965.0,,671100.0,147500.0,2520.0,6300.0,35,5335.0,15.317460317460318,underdeveloped,estimated_from_improvement_value,312567.4880952381,1067000.0,high,152.83,136.62,169.03,12,,,
23033013,"838 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,5000.0,50.0,False,1930.0,511-Single Family Detached,713.0,,603600.0,108900.0,1500.0,3750.0,35,3037.0,19.013333333333332,underdeveloped,estimated_from_improvement_value,268859.536,607400.0,high,152.83,136.62,169.03,12,,,
23033017,"4021 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,15600.0,50.0,False,1938.0,511-Single Family Detached,479.0,,794400.0,73200.0,2520.0,6300.0,35,5821.0,7.603174603174604,underdeveloped,estimated_from_improvement_value,403700.20952380955,1164200.0,high,152.83,136.62,169.03,12,,,
23033012,"832 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,11280.0,60.0,True,1986.0,511-Single Family Detached,3183.0,,716700.0,486500.0,2520.0,6300.0,35,3117.0,50.523809523809526,underdeveloped,estimated_from_improvement_value,195027.72142857144,623400.0,high,152.83,136.62,169.03,12,,,
23033018,"4017 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,15600.0,50.0,False,1939.0,511-Single Family Detached,1580.0,,794400.0,241400.0,2520.0,6300.0,35,4720.0,25.07936507936508,underdeveloped,estimated_from_improvement_value,327343.2380952381,944000.0,high,152.83,136.62,169.03,12,,,
23033011,"826 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,12220.0,65.0,True,1941.0,511-Single Family Detached,1454.0,,733600.0,222200.0,2520.0,6300.0,35,4846.0,23.07936507936508,underdeveloped,estimated_from_improvement_value,310359.3777777778,969200.0,high,152.83,136.62,169.03,12,,,
23033055,"815 S Randolph St, Arlington VA 22204",Alcova Heights,R-6,False,9675.0,66.8,True,1965.0,511-Single Family Detached,1997.0,,687800.0,305200.0,2520.0,6300.0,35,4303.0,31.6984126984127,underdeveloped,estimated_from_improvement_value,258378.0746031746,860600.0,high,152.83,136.62,169.03,12,,,
23033054,"811 S Randolph St, Arlington VA 22204",Alcova Heights,R-6,False,9382.0,63.4,True,1965.0,511-Single Family Detached,1903.0,,682500.0,290900.0,2520.0,6300.0,35,4397.0,30.20634920634921,underdeveloped,estimated_from_improvement_value,261987.91666666666,879400.0,high,152.83,136.62,169.03,12,,,
23033065,"824 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,6006.0,60.0,True,1976.0,511-Single Family Detached,1500.0,,621700.0,229300.0,1801.8,4504.5,35,3004.5,33.3000333000333,underdeveloped,estimated_from_improvement_value,228070.53113553114,600900.0,high,152.83,136.62,169.03,12,,,
23033064,"820 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,9598.0,48.0,False,1976.0,511-Single Family Detached,1993.0,,686400.0,304600.0,2520.0,6300.0,35,4307.0,31.634920634920633,underdeveloped,estimated_from_improvement_value,258091.84761904762,861400.0,high,152.83,136.62,169.03,12,,,
23033053,"805 S Randolph St, Arlington VA 22204",Alcova Heights,R-6,False,9577.0,63.3,True,1965.0,511-Single Family Detached,2077.0,,686000.0,317400.0,2520.0,6300.0,35,4223.0,32.96825396825397,underdeveloped,estimated_from_improvement_value,252910.77777777778,844600.0,high,152.83,136.62,169.03,12,,,
23033063,"816 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,11963.0,38.4,False,1976.0,511-Single Family Detached,2021.0,,729000.0,308900.0,2520.0,6300.0,35,4279.0,32.07936507936508,underdeveloped,estimated_from_improvement_value,272327.7857142857,855800.0,high,152.83,136.62,169.03,12,,,
23033051,"4030 8Th St S, Arlington VA 22204",Alcova Heights,R-6,False,6287.0,70.3,True,1965.0,511-Single Family Detached,1307.0,,626800.0,199800.0,1886.1,4715.25,35,3408.25,27.71857271618684,underdeveloped,estimated_from_improvement_value,249182.9924182175,681650.0,high,152.83,136.62,169.03,12,,,
23033060,"804 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,6354.0,63.5,True,1977.0,511-Single Family Detached,2250.0,,628000.0,343800.0,1906.1999999999998,4765.5,35,2515.5,47.21435316336166,underdeveloped,estimated_from_improvement_value,182321.62417374883,503100.0,high,152.83,136.62,169.03,12,,,
23033056,"4020 8Th St S, Arlington VA 22204",Alcova Heights,R-6,False,6196.0,60.7,True,1977.0,511-Single Family Detached,1610.0,,625200.0,246100.0,1858.8,4647.0,35,3037.0,34.6460081773187,underdeveloped,estimated_from_improvement_value,224726.23628147194,607400.0,high,152.83,136.62,169.03,12,,,
23033057,"4014 8Th St S, Arlington VA 22204",Alcova Heights,R-6,False,6600.0,55.9,False,1977.0,511-Single Family Detached,1664.0,,632400.0,254300.0,1980.0,4950.0,35,3286.0,33.61616161616162,underdeveloped,estimated_from_improvement_value,230896.26666666666,657200.0,high,152.83,136.62,169.03,12,,,
23033058,"4008 8Th St S, Arlington VA 22204",Alcova Heights,R-6,False,11877.0,96.0,True,1930.0,511-Single Family Detached,1071.0,,727400.0,163700.0,2520.0,6300.0,35,5229.0,17.0,underdeveloped,estimated_from_improvement_value,332058.10000000003,1045800.0,high,152.83,136.62,169.03,12,,,
23033059,"800 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,6393.0,61.4,True,1977.0,511-Single Family Detached,1954.0,,628700.0,298600.0,1917.8999999999999,4794.75,35,2840.75,40.75290682517337,underdeveloped,estimated_from_improvement_value,204867.5611345743,568150.0,high,152.83,136.62,169.03,12,,,
23040012,"3504 9Th St S, Arlington VA 22204",Alcova Heights,R-5,False,7022.0,81.3,True,,200-GenCom VacLand-no siteplan,,,,,2380.0,5950.0,35,,,near-capacity,,,,not_applicable,152.83,136.62,169.03,12,,,
23032001,"3925 9Th St S, Arlington VA 22204",Alcova Heights,R-6,False,10451.0,94.0,True,1992.0,511-Single Family Detached,2961.0,,701700.0,452500.0,2520.0,6300.0,35,3339.0,47.0,underdeveloped,estimated_from_improvement_value,204545.55000000002,667800.0,high,152.83,136.62,169.03,12,,,
23019016,"4023 7Th St S, Arlington VA 22204",Alcova Heights,R-6,False,7963.0,59.8,False,1935.0,511-Single Family Detached,398.0,,657000.0,60900.0,2388.9,5972.25,35,5574.25,6.664155050441625,underdeveloped,estimated_from_improvement_value,337269.0757252292,1114850.0,high,152.83,136.62,169.03,12,,,
23019028,"4011 7Th St S, Arlington VA 22204",Alcova Heights,R-6,True,16750.0,82.1,True,1914.0,511-Single Family Detached,1627.0,,815100.0,248600.0,2520.0,6300.0,35,4673.0,25.825396825396822,underdeveloped,estimated_from_improvement_value,332528.4547619048,934600.0,high,152.83,136.62,169.03,12,,,
